,natoms,CH,CN,CO,CC,NN,NO,NH,OH
524,10,10,1,3,6,0,0,1,0
525,10,11,2,3,5,0,0,0,0
526,10,7,4,2,4,0,0,1,0
527,10,7,4,0,2,1,2,3,0
528,14,7,4,0,7,1,2,3,0
529,7,5,2,1,3,0,0,3,0
530,8,1,4,0,3,0,0,3,0
531,10,6,3,2,4,0,0,1,0
532,16,15,2,8,6,0,0,0,0
533,16,15,4,6,6,0,0,1,0
534,15,11,2,7,6,0,0,1,1
535,16,12,4,1,12,0,0,0,0
536,13,8,10,1,2,0,0,2,1
537,15,8,6,3,6,0,0,0,1
538,18,15,6,3,9,0,0,0,0
539,14,10,2,4,8,0,0,0,1
540,14,11,2,4,8,0,0,0,0
541,12,7,5,3,4,0,0,2,0
542,14,11,2,1,12,0,0,0,0
543,18,13,2,4,13,0,0,0,0
544,13,8,4,0,10,0,0,0,0
545,19,12,4,1,16,0,0,0,0
546,18,12,4,4,11,0,0,0,0
547,17,11,4,4,10,0,0,1,0
548,14,7,4,1,10,0,0,1,0
549,19,11,4,5,11,0,0,1,0
550,17,11,2,6,10,0,0,0,0
551,15,9,2,4,10,0,0,0,0
552,19,12,7,3,10,1,0,0,0
553,19,11,5,3,10,3,0,0,0
554,16,13,2,3,12,0,0,0,0
555,13,8,3,0,11,0,0,0,0
556,16,12,4,3,10,0,0,0,0
557,13,7,5,0,9,0,0,0,0
558,14,10,4,1,10,0,0,0,0
559,15,9,4,2,10,0,0,1,0
560,20,11,4,2,16,0,0,1,0
561,16,7,8,0,9,1,0,0,0
562,16,6,6,0,9,3,0,0,0
563,18,10,7,3,9,1,0,0,0
564,18,9,5,3,9,3,0,0,0
565,22,12,7,1,16,1,0,0,0
566,22,11,5,1,16,3,0,0,0
567,18,14,5,4,10,0,0,0,0
568,16,12,5,2,10,0,0,0,0
569,13,11,2,6,5,0,0,0,0
570,13,11,4,4,5,0,0,1,0
571,14,10,4,1,10,0,0,0,0
572,14,9,6,1,8,0,0,0,0
573,16,13,2,1,15,0,0,0,0
574,17,5,9,3,6,0,0,4,0
575,23,14,4,1,21,0,0,0,0
576,16,13,5,4,7,1,0,0,0
577,18,10,4,4,10,1,0,1,0
578,21,12,5,4,12,2,0,0,0
579,13,7,4,5,4,0,0,1,0
580,14,8,3,0,10,0,2,0,0
581,14,8,3,0,10,0,2,0,0
582,14,7,3,0,9,1,2,0,0
583,10,5,5,0,3,0,2,0,0
584,18,13,2,2,16,0,0,0,0
585,24,16,4,2,20,0,0,0,0
586,12,8,3,1,8,0,0,0,0
587,12,8,3,1,8,0,0,0,0
588,11,5,4,0,7,0,0,0,0
589,15,7,4,0,12,0,0,0,0
590,16,10,3,1,13,0,0,0,0
591,19,13,4,3,14,0,0,1,0
592,19,16,5,5,10,0,0,0,0
593,17,12,5,5,8,0,0,0,0
594,18,14,5,5,9,0,0,0,0
595,19,16,5,5,10,0,0,0,0
596,20,18,5,5,11,0,0,0,0
597,21,22,5,2,17,0,0,0,0
598,15,12,7,2,7,0,0,1,0
599,21,19,8,5,9,0,0,0,0
600,23,18,5,8,11,0,0,0,0
601,23,18,5,8,11,0,0,0,0
602,18,14,5,5,9,0,0,0,0
603,18,14,5,5,9,0,0,0,0
604,20,14,5,5,11,0,0,0,0
605,17,10,3,5,10,0,0,0,0
606,19,12,2,1,18,0,0,0,1
607,19,12,2,1,18,0,0,0,1
608,14,10,2,1,12,0,0,0,1
609,15,10,2,1,13,0,0,0,1
610,16,14,2,1,14,0,0,0,1
611,21,16,2,1,20,0,0,0,1
612,21,16,2,1,20,0,0,0,1
613,13,9,2,3,9,0,0,0,0
614,15,13,3,0,9,1,2,0,0
615,17,12,2,6,8,1,0,0,0
